
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.13822
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.08900
 thrust(N)  :   21.2        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5207       speed(m/s) :   20.000     rpm        :  21120.000
 Eff induced:  0.6439       Eff ideal  :   0.6863     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0031    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.2033    Pvisc(W)   :   149.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.27962      adv:    0.08900       AF:   77.200
   Ct:    0.08179       Cp:    0.04392  (by rho,Diam,N)
   Tc:    2.66379       Pc:    5.11591  (by rho,Atip,Vel)
   CT:    0.01055       CP:    0.00180  (by rho,Atip,Vtip)
Sigma:    0.11058 CT/sigma:    0.09542  heliFOM:    0.42491

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1684  74.78  0.600   0.0346  25.70  0.064  0.592 0.785   0.000  1.9509
  2 0.083 0.2627  60.05  0.600   0.0267  49.06  0.078  0.631 0.901   0.000  1.5187
  3 0.133 0.3048  46.90  0.600   0.0226  74.87  0.103  0.639 0.927   0.000  1.0956
  4 0.184 0.2998  37.66  0.600   0.0206  94.48  0.132  0.641 0.932   0.000  0.7788
  5 0.235 0.2788  31.19  0.600   0.0195 108.43  0.163  0.642 0.930   0.000  0.5675
  6 0.285 0.2548  26.54  0.600   0.0188 118.26  0.195  0.643 0.925   0.000  0.4270
  7 0.335 0.2320  23.09  0.600   0.0184 125.20  0.227  0.643 0.919   0.000  0.3312
  8 0.383 0.2119  20.44  0.600   0.0181 130.15  0.258  0.643 0.913   0.000  0.2639
  9 0.431 0.1943  18.36  0.600   0.0179 133.71  0.289  0.643 0.906   0.000  0.2153
 10 0.477 0.1793  16.68  0.600   0.0178 136.26  0.319  0.644 0.899   0.000  0.1792
 11 0.523 0.1662  15.31  0.600   0.0177 138.05  0.349  0.644 0.893   0.000  0.1518
 12 0.567 0.1549  14.17  0.600   0.0176 139.24  0.378  0.644 0.886   0.000  0.1306
 13 0.609 0.1450  13.20  0.600   0.0176 139.88  0.405  0.644 0.880   0.000  0.1137
 14 0.649 0.1362  12.37  0.600   0.0176 140.00  0.432  0.644 0.873   0.000  0.1001
 15 0.688 0.1282  11.64  0.600   0.0176 139.55  0.458  0.644 0.867   0.000  0.0889
 16 0.725 0.1207  11.00  0.600   0.0177 138.45  0.482  0.644 0.861   0.000  0.0795
 17 0.760 0.1137  10.43  0.600   0.0182 136.59  0.505  0.644 0.852   0.000  0.0714
 18 0.793 0.1068   9.96  0.600   0.0198 133.84  0.527  0.644 0.836   0.000  0.0643
 19 0.824 0.1000   9.56  0.600   0.0228 130.05  0.547  0.644 0.810   0.000  0.0579
 20 0.852 0.0930   9.20  0.600   0.0274 125.08  0.566  0.644 0.775   0.000  0.0521
 21 0.879 0.0857   8.88  0.600   0.0335 118.82  0.583  0.644 0.732   0.000  0.0466
 22 0.902 0.0781   8.61  0.600   0.0409 111.20  0.598  0.644 0.685   0.000  0.0413
 23 0.924 0.0701   8.38  0.600   0.0494 102.21  0.612  0.644 0.637   0.000  0.0363
 24 0.942 0.0618   8.17  0.600   0.0585  91.88  0.625  0.644 0.592   0.000  0.0313
 25 0.959 0.0531   8.00  0.600   0.0680  80.32  0.635  0.644 0.551   0.000  0.0265
 26 0.972 0.0442   7.86  0.600   0.0773  67.69  0.644  0.644 0.515   0.000  0.0217
 27 0.983 0.0350   7.75  0.600   0.0864  54.20  0.651  0.644 0.484   0.000  0.0170
 28 0.991 0.0257   7.67  0.600   0.0952  40.20  0.657  0.644 0.458   0.000  0.0124
 29 0.997 0.0168   7.62  0.600   0.1044  26.34  0.660  0.644 0.433   0.000  0.0080
 30 0.999 0.0095   7.59  0.600   0.1151  14.94  0.662  0.644 0.408   0.000  0.0045
