
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.27084
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.21712
 thrust(N)  :   2.29        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.3862       speed(m/s) :   20.000     rpm        :  11544.001
 Eff induced:  0.8016       Eff ideal  :   0.8971     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0006    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.4186    Pvisc(W)   :   50.9       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.68209      adv:    0.21712       AF:  147.778
   Ct:    0.09339       Cp:    0.16494  (by rho,Diam,N)
   Tc:    0.51117       Pc:    1.32355  (by rho,Atip,Vel)
   CT:    0.01205       CP:    0.00677  (by rho,Atip,Vtip)
Sigma:    0.14693 CT/sigma:    0.08200

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.2022  85.26  0.600   0.3097  21.71  0.060  0.723 1.871   0.000  1.3616
  2 0.086 0.2716  77.49  0.600   0.2700  30.57  0.063  0.775 0.381   0.000  1.0097
  3 0.135 0.3506  68.54  0.600   0.2353  43.12  0.069  0.791 0.175   0.000  0.8290
  4 0.185 0.4011  60.59  0.600   0.2135  55.01  0.077  0.796 0.385   0.000  0.6899
  5 0.236 0.4242  53.91  0.600   0.1993  65.30  0.086  0.798 0.479   0.000  0.5732
  6 0.286 0.4281  48.38  0.600   0.1898  73.82  0.097  0.799 0.525   0.000  0.4770
  7 0.335 0.4200  43.84  0.600   0.1832  80.64  0.108  0.800 0.547   0.000  0.3989
  8 0.384 0.4051  40.10  0.600   0.1786  85.92  0.119  0.800 0.556   0.000  0.3360
  9 0.431 0.3864  37.01  0.600   0.1755  89.83  0.130  0.801 0.557   0.000  0.2851
 10 0.478 0.3661  34.42  0.600   0.1734  92.52  0.142  0.801 0.554   0.000  0.2438
 11 0.523 0.3450  32.24  0.600   0.1722  94.13  0.153  0.801 0.548   0.000  0.2100
 12 0.567 0.3239  30.40  0.600   0.1718  94.77  0.164  0.801 0.540   0.000  0.1819
 13 0.609 0.3032  28.82  0.600   0.1719  94.51  0.175  0.801 0.531   0.000  0.1584
 14 0.650 0.2829  27.47  0.600   0.1727  93.44  0.185  0.801 0.521   0.000  0.1386
 15 0.689 0.2631  26.30  0.600   0.1741  91.61  0.195  0.801 0.510   0.000  0.1216
 16 0.725 0.2439  25.29  0.600   0.1760  89.09  0.205  0.801 0.499   0.000  0.1070
 17 0.760 0.2251  24.41  0.600   0.1786  85.90  0.214  0.801 0.487   0.000  0.0942
 18 0.793 0.2069  23.65  0.600   0.1819  82.11  0.222  0.801 0.475   0.000  0.0830
 19 0.824 0.1891  22.98  0.600   0.1859  77.75  0.230  0.801 0.462   0.000  0.0730
 20 0.853 0.1716  22.41  0.600   0.1908  72.87  0.238  0.801 0.449   0.000  0.0641
 21 0.879 0.1545  21.90  0.600   0.1967  67.51  0.245  0.801 0.436   0.000  0.0560
 22 0.902 0.1377  21.47  0.600   0.2039  61.71  0.251  0.801 0.421   0.000  0.0486
 23 0.924 0.1212  21.10  0.600   0.2127  55.52  0.257  0.801 0.406   0.000  0.0418
 24 0.942 0.1049  20.79  0.600   0.2236  48.99  0.262  0.801 0.389   0.000  0.0354
 25 0.959 0.0889  20.52  0.600   0.2374  42.19  0.266  0.801 0.370   0.000  0.0295
 26 0.972 0.0731  20.31  0.600   0.2553  35.16  0.269  0.801 0.349   0.000  0.0239
 27 0.983 0.0576  20.14  0.600   0.2797  28.01  0.272  0.801 0.324   0.000  0.0187
 28 0.991 0.0426  20.02  0.600   0.3146  20.87  0.275  0.801 0.294   0.000  0.0137
 29 0.997 0.0288  19.94  0.600   0.3673  14.17  0.276  0.801 0.256   0.000  0.0092
 30 0.999 0.0190  19.89  0.600   0.4329   9.40  0.277  0.801 0.220   0.000  0.0061
