
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.39102
 no. blades :  3            radius(m)  :   0.0635     adv. ratio:     0.26054
 thrust(N)  :   3.65        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6172       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.6663       Eff ideal  :   0.8080     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0020    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0817    Pvisc(W)   :   6.26       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.81850      adv:    0.26054       AF:  306.960
   Ct:    0.30950       Cp:    0.41042  (by rho,Diam,N)
   Tc:    1.17642       Pc:    1.90592  (by rho,Atip,Vel)
   CT:    0.03993       CP:    0.01685  (by rho,Atip,Vtip)
Sigma:    0.46811 CT/sigma:    0.08530

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.1788  83.54  0.600   0.0420  15.92  0.060  0.593 0.441   0.000  1.6285
  2 0.089 0.2733  78.23  0.600   0.0350  25.11  0.062  0.637 0.728   0.000  1.4740
  3 0.136 0.4138  71.64  0.600   0.0289  40.41  0.066  0.654 0.847   0.000  1.4483
  4 0.186 0.5367  65.33  0.600   0.0252  56.83  0.071  0.660 0.894   0.000  1.3755
  5 0.237 0.6256  59.61  0.600   0.0229  72.54  0.078  0.662 0.916   0.000  1.2629
  6 0.286 0.6810  54.53  0.600   0.0213  86.76  0.086  0.663 0.927   0.000  1.1352
  7 0.336 0.7093  50.09  0.600   0.0202  99.16  0.094  0.664 0.934   0.000  1.0086
  8 0.384 0.7173  46.23  0.600   0.0194 109.62  0.103  0.665 0.937   0.000  0.8913
  9 0.432 0.7111  42.89  0.600   0.0188 118.17  0.112  0.665 0.939   0.000  0.7862
 10 0.478 0.6950  39.99  0.600   0.0184 124.87  0.121  0.665 0.940   0.000  0.6938
 11 0.523 0.6721  37.47  0.600   0.0181 129.81  0.130  0.665 0.939   0.000  0.6131
 12 0.567 0.6448  35.29  0.600   0.0179 133.10  0.139  0.665 0.939   0.000  0.5428
 13 0.609 0.6145  33.39  0.600   0.0179 134.83  0.148  0.666 0.937   0.000  0.4815
 14 0.650 0.5822  31.73  0.600   0.0178 135.11  0.156  0.666 0.936   0.000  0.4277
 15 0.689 0.5487  30.27  0.600   0.0179 134.02  0.164  0.666 0.934   0.000  0.3804
 16 0.726 0.5143  29.00  0.600   0.0180 131.63  0.172  0.666 0.932   0.000  0.3384
 17 0.761 0.4794  27.89  0.600   0.0182 128.04  0.180  0.666 0.929   0.000  0.3009
 18 0.793 0.4442  26.91  0.600   0.0185 123.32  0.187  0.666 0.927   0.000  0.2673
 19 0.824 0.4088  26.05  0.600   0.0189 117.53  0.193  0.666 0.924   0.000  0.2369
 20 0.853 0.3734  25.30  0.600   0.0193 110.77  0.199  0.666 0.921   0.000  0.2091
 21 0.879 0.3380  24.65  0.600   0.0199 103.12  0.205  0.666 0.917   0.000  0.1836
 22 0.902 0.3026  24.08  0.600   0.0206  94.65  0.210  0.666 0.913   0.000  0.1601
 23 0.924 0.2673  23.59  0.600   0.0214  85.45  0.215  0.666 0.908   0.000  0.1382
 24 0.942 0.2321  23.18  0.600   0.0225  75.63  0.219  0.666 0.903   0.000  0.1176
 25 0.959 0.1972  22.84  0.600   0.0239  65.27  0.223  0.666 0.896   0.000  0.0982
 26 0.972 0.1625  22.55  0.600   0.0256  54.49  0.226  0.666 0.888   0.000  0.0798
 27 0.983 0.1282  22.33  0.600   0.0281  43.45  0.228  0.666 0.878   0.000  0.0623
 28 0.991 0.0947  22.17  0.600   0.0316  32.37  0.230  0.666 0.864   0.000  0.0456
 29 0.997 0.0637  22.06  0.600   0.0369  21.88  0.231  0.666 0.843   0.000  0.0305
 30 0.999 0.0415  22.01  0.600   0.0438  14.30  0.232  0.666 0.819   0.000  0.0198
