
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14493
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.13027
 thrust(N)  :   4.46        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7536       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.8988       Eff ideal  :   0.9235     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0002    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0495    Pvisc(W)   :   18.0       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.40925      adv:    0.13027       AF:   31.860
   Ct:    0.02362       Cp:    0.01283  (by rho,Diam,N)
   Tc:    0.35906       Pc:    0.47648  (by rho,Atip,Vel)
   CT:    0.00305       CP:    0.00053  (by rho,Atip,Vtip)
Sigma:    0.03092 CT/sigma:    0.09853

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0740  76.41  0.600   0.0386  13.55  0.062  0.840 0.755   0.000  0.5812
  2 0.082 0.1038  62.37  0.600   0.0321  21.46  0.069  0.884 0.879   0.000  0.4018
  3 0.133 0.1209  49.46  0.600   0.0281  30.15  0.084  0.894 0.910   0.000  0.2902
  4 0.184 0.1223  40.18  0.600   0.0259  36.93  0.102  0.896 0.916   0.000  0.2119
  5 0.235 0.1165  33.61  0.600   0.0246  41.94  0.121  0.897 0.914   0.000  0.1582
  6 0.285 0.1085  28.85  0.600   0.0238  45.58  0.141  0.898 0.909   0.000  0.1212
  7 0.334 0.1001  25.30  0.600   0.0232  48.23  0.162  0.898 0.903   0.000  0.0953
  8 0.383 0.0923  22.57  0.600   0.0229  50.13  0.183  0.898 0.895   0.000  0.0767
  9 0.431 0.0852  20.42  0.600   0.0227  51.45  0.203  0.898 0.888   0.000  0.0629
 10 0.477 0.0788  18.69  0.600   0.0225  52.33  0.223  0.898 0.880   0.000  0.0525
 11 0.523 0.0730  17.28  0.600   0.0224  52.83  0.243  0.898 0.872   0.000  0.0445
 12 0.567 0.0679  16.11  0.600   0.0224  52.99  0.262  0.899 0.864   0.000  0.0381
 13 0.609 0.0632  15.12  0.600   0.0224  52.85  0.281  0.899 0.857   0.000  0.0331
 14 0.649 0.0589  14.29  0.600   0.0225  52.41  0.299  0.899 0.849   0.000  0.0289
 15 0.688 0.0549  13.57  0.600   0.0226  51.66  0.316  0.899 0.841   0.000  0.0254
 16 0.725 0.0511  12.95  0.600   0.0228  50.59  0.333  0.899 0.834   0.000  0.0224
 17 0.760 0.0475  12.42  0.600   0.0231  49.19  0.348  0.899 0.826   0.000  0.0199
 18 0.793 0.0440  11.95  0.600   0.0234  47.45  0.363  0.899 0.818   0.000  0.0176
 19 0.824 0.0405  11.55  0.600   0.0238  45.36  0.377  0.899 0.810   0.000  0.0156
 20 0.852 0.0371  11.20  0.600   0.0244  42.92  0.389  0.899 0.802   0.000  0.0138
 21 0.879 0.0336  10.89  0.600   0.0250  40.12  0.401  0.899 0.793   0.000  0.0122
 22 0.902 0.0302  10.62  0.600   0.0259  36.98  0.412  0.899 0.783   0.000  0.0107
 23 0.924 0.0268  10.40  0.600   0.0269  33.52  0.421  0.899 0.772   0.000  0.0092
 24 0.942 0.0233  10.20  0.600   0.0282  29.77  0.430  0.899 0.760   0.000  0.0079
 25 0.959 0.0198  10.04  0.600   0.0299  25.75  0.437  0.899 0.747   0.000  0.0066
 26 0.972 0.0163   9.91  0.600   0.0321  21.53  0.443  0.899 0.730   0.000  0.0054
 27 0.983 0.0129   9.80  0.600   0.0352  17.15  0.448  0.899 0.709   0.000  0.0042
 28 0.991 0.0095   9.73  0.600   0.0396  12.70  0.451  0.899 0.682   0.000  0.0030
 29 0.997 0.0062   9.68  0.600   0.0468   8.38  0.454  0.899 0.643   0.000  0.0020
 30 0.999 0.0037   9.65  0.600   0.0576   4.99  0.455  0.899 0.593   0.000  0.0012
