
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.08943
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   13.1        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.3224       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7962       Eff ideal  :   0.8218     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0008    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.2403    Pvisc(W)   :   478.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   28.738
   Ct:    0.02074       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.05553       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00268       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.02716 CT/sigma:    0.09853  heliFOM:    0.16561

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1461  66.66  0.600   0.0329  29.27  0.067  0.744 0.856   0.000  1.1475
  2 0.082 0.1661  48.16  0.600   0.0279  44.11  0.089  0.783 0.910   0.000  0.6425
  3 0.133 0.1560  34.70  0.600   0.0251  57.42  0.124  0.791 0.915   0.000  0.3744
  4 0.184 0.1368  26.65  0.600   0.0238  65.98  0.162  0.794 0.907   0.000  0.2371
  5 0.235 0.1189  21.53  0.600   0.0230  71.40  0.202  0.795 0.895   0.000  0.1613
  6 0.285 0.1040  18.05  0.600   0.0226  74.89  0.242  0.795 0.882   0.000  0.1162
  7 0.334 0.0920  15.55  0.600   0.0223  77.18  0.282  0.795 0.869   0.000  0.0876
  8 0.383 0.0823  13.67  0.600   0.0221  78.72  0.322  0.796 0.856   0.000  0.0684
  9 0.431 0.0744  12.21  0.600   0.0220  79.75  0.360  0.796 0.843   0.000  0.0550
 10 0.477 0.0679  11.03  0.600   0.0219  80.45  0.399  0.796 0.831   0.000  0.0453
 11 0.523 0.0624  10.06  0.600   0.0219  80.89  0.436  0.796 0.819   0.000  0.0380
 12 0.567 0.0578   9.22  0.600   0.0219  81.11  0.471  0.796 0.808   0.000  0.0325
 13 0.609 0.0539   8.48  0.600   0.0224  81.13  0.506  0.796 0.793   0.000  0.0282
 14 0.649 0.0504   7.89  0.600   0.0254  80.93  0.540  0.796 0.760   0.000  0.0247
 15 0.688 0.0473   7.38  0.600   0.0327  80.47  0.571  0.796 0.700   0.000  0.0219
 16 0.725 0.0445   6.92  0.600   0.0454  79.70  0.602  0.796 0.614   0.000  0.0195
 17 0.760 0.0419   6.52  0.600   0.0643  78.54  0.631  0.796 0.517   0.000  0.0175
 18 0.793 0.0393   6.16  0.600   0.0895  76.91  0.658  0.796 0.423   0.000  0.0158
 19 0.824 0.0368   5.84  0.600   0.1206  74.71  0.683  0.796 0.343   0.000  0.0142
 20 0.852 0.0342   5.56  0.600   0.1568  71.85  0.707  0.796 0.279   0.000  0.0128
 21 0.879 0.0315   5.30  0.600   0.1971  68.27  0.728  0.796 0.229   0.000  0.0114
 22 0.902 0.0287   5.07  0.600   0.2401  63.92  0.748  0.796 0.191   0.000  0.0101
 23 0.924 0.0258   4.87  0.600   0.2843  58.77  0.765  0.796 0.162   0.000  0.0089
 24 0.942 0.0228   4.69  0.600   0.3282  52.85  0.781  0.796 0.140   0.000  0.0077
 25 0.959 0.0196   4.54  0.600   0.3700  46.22  0.794  0.796 0.124   0.000  0.0065
 26 0.972 0.0163   4.41  0.600   0.4085  38.96  0.805  0.796 0.112   0.000  0.0053
 27 0.983 0.0129   4.31  0.600   0.4424  31.21  0.814  0.796 0.102   0.000  0.0042
 28 0.991 0.0095   4.23  0.600   0.4710  23.15  0.821  0.796 0.096   0.000  0.0030
 29 0.997 0.0062   4.18  0.600   0.4946  15.17  0.825  0.796 0.091   0.000  0.0020
 30 0.999 0.0035   4.15  0.600   0.5141   8.59  0.828  0.796 0.087   0.000  0.0011
