
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.29771
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.21712
 thrust(N)  :   3.97        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6702       speed(m/s) :   20.000     rpm        :  11544.001
 Eff induced:  0.7293       Eff ideal  :   0.8426     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0013    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0685    Pvisc(W)   :   7.72       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.68209      adv:    0.21712       AF:  226.514
   Ct:    0.16205       Cp:    0.16494  (by rho,Diam,N)
   Tc:    0.88700       Pc:    1.32355  (by rho,Atip,Vel)
   CT:    0.02091       CP:    0.00677  (by rho,Atip,Vtip)
Sigma:    0.22559 CT/sigma:    0.09267

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.2977  82.05  0.600   0.0318  31.93  0.060  0.658 0.648   0.000  2.0044
  2 0.086 0.4009  74.85  0.600   0.0277  45.03  0.063  0.705 0.827   0.000  1.4903
  3 0.135 0.5207  66.48  0.600   0.0241  63.76  0.069  0.720 0.895   0.000  1.2310
  4 0.185 0.5997  58.90  0.600   0.0218  81.79  0.076  0.724 0.921   0.000  1.0315
  5 0.236 0.6382  52.39  0.600   0.0203  97.63  0.086  0.726 0.932   0.000  0.8624
  6 0.286 0.6474  46.91  0.600   0.0193 110.94  0.096  0.727 0.938   0.000  0.7214
  7 0.335 0.6379  42.34  0.600   0.0186 121.74  0.107  0.728 0.940   0.000  0.6059
  8 0.384 0.6173  38.52  0.600   0.0181 130.20  0.118  0.728 0.940   0.000  0.5120
  9 0.431 0.5904  35.32  0.600   0.0178 136.55  0.130  0.728 0.939   0.000  0.4357
 10 0.478 0.5604  32.62  0.600   0.0175 140.98  0.141  0.728 0.938   0.000  0.3733
 11 0.523 0.5289  30.34  0.600   0.0174 143.70  0.152  0.729 0.936   0.000  0.3218
 12 0.567 0.4971  28.39  0.600   0.0173 144.86  0.163  0.729 0.933   0.000  0.2791
 13 0.609 0.4655  26.73  0.600   0.0174 144.60  0.174  0.729 0.931   0.000  0.2432
 14 0.650 0.4344  25.29  0.600   0.0174 143.05  0.185  0.729 0.928   0.000  0.2128
 15 0.689 0.4041  24.05  0.600   0.0176 140.30  0.195  0.729 0.925   0.000  0.1868
 16 0.725 0.3745  22.97  0.600   0.0178 136.44  0.204  0.729 0.921   0.000  0.1643
 17 0.760 0.3456  22.03  0.600   0.0180 131.55  0.213  0.729 0.918   0.000  0.1447
 18 0.793 0.3175  21.21  0.600   0.0184 125.73  0.222  0.729 0.914   0.000  0.1274
 19 0.824 0.2900  20.50  0.600   0.0188 119.02  0.230  0.729 0.910   0.000  0.1120
 20 0.853 0.2632  19.88  0.600   0.0193 111.51  0.237  0.729 0.906   0.000  0.0983
 21 0.879 0.2369  19.34  0.600   0.0199 103.27  0.244  0.729 0.901   0.000  0.0858
 22 0.902 0.2110  18.87  0.600   0.0206  94.37  0.251  0.729 0.896   0.000  0.0744
 23 0.924 0.1857  18.47  0.600   0.0215  84.89  0.256  0.729 0.890   0.000  0.0640
 24 0.942 0.1607  18.14  0.600   0.0226  74.90  0.261  0.729 0.883   0.000  0.0543
 25 0.959 0.1362  17.85  0.600   0.0240  64.50  0.265  0.729 0.875   0.000  0.0452
 26 0.972 0.1120  17.62  0.600   0.0258  53.77  0.269  0.729 0.865   0.000  0.0367
 27 0.983 0.0883  17.44  0.600   0.0282  42.86  0.272  0.729 0.853   0.000  0.0286
 28 0.991 0.0654  17.31  0.600   0.0317  32.00  0.274  0.729 0.837   0.000  0.0210
 29 0.997 0.0445  17.22  0.600   0.0370  21.86  0.276  0.729 0.814   0.000  0.0142
 30 0.999 0.0299  17.18  0.600   0.0432  14.76  0.276  0.729 0.788   0.000  0.0095
