
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.39054
 no. blades :  3            radius(m)  :   0.0635     adv. ratio:     0.26054
 thrust(N)  :   3.64        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6140       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.6671       Eff ideal  :   0.8087     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0020    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0883    Pvisc(W)   :   6.78       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.81850      adv:    0.26054       AF:  305.768
   Ct:    0.30789       Cp:    0.41042  (by rho,Diam,N)
   Tc:    1.17028       Pc:    1.90592  (by rho,Atip,Vel)
   CT:    0.03972       CP:    0.01685  (by rho,Atip,Vtip)
Sigma:    0.46628 CT/sigma:    0.08518

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.1782  80.61  0.600   0.0455  15.87  0.060  0.594 0.395   0.000  1.6234
  2 0.089 0.2725  75.29  0.600   0.0379  25.03  0.062  0.638 0.705   0.000  1.4693
  3 0.136 0.4124  68.69  0.600   0.0314  40.28  0.066  0.655 0.834   0.000  1.4435
  4 0.186 0.5349  62.38  0.600   0.0274  56.64  0.071  0.660 0.885   0.000  1.3708
  5 0.237 0.6234  56.65  0.600   0.0248  72.29  0.078  0.663 0.909   0.000  1.2585
  6 0.286 0.6786  51.57  0.600   0.0231  86.46  0.086  0.664 0.921   0.000  1.1311
  7 0.336 0.7067  47.13  0.600   0.0219  98.80  0.094  0.665 0.928   0.000  1.0049
  8 0.384 0.7146  43.27  0.600   0.0210 109.23  0.103  0.665 0.932   0.000  0.8879
  9 0.432 0.7084  39.93  0.600   0.0204 117.74  0.112  0.666 0.934   0.000  0.7832
 10 0.478 0.6923  37.03  0.600   0.0200 124.40  0.121  0.666 0.935   0.000  0.6912
 11 0.523 0.6695  34.52  0.600   0.0197 129.32  0.130  0.666 0.934   0.000  0.6108
 12 0.567 0.6423  32.34  0.600   0.0195 132.59  0.139  0.666 0.934   0.000  0.5407
 13 0.609 0.6121  30.44  0.600   0.0194 134.32  0.148  0.666 0.932   0.000  0.4796
 14 0.650 0.5799  28.78  0.600   0.0194 134.60  0.156  0.666 0.931   0.000  0.4261
 15 0.689 0.5465  27.33  0.600   0.0194 133.50  0.164  0.666 0.929   0.000  0.3789
 16 0.726 0.5123  26.06  0.600   0.0196 131.13  0.172  0.667 0.926   0.000  0.3371
 17 0.761 0.4775  24.94  0.600   0.0198 127.55  0.180  0.667 0.924   0.000  0.2998
 18 0.793 0.4425  23.97  0.600   0.0201 122.84  0.187  0.667 0.921   0.000  0.2663
 19 0.824 0.4072  23.11  0.600   0.0205 117.08  0.193  0.667 0.918   0.000  0.2359
 20 0.853 0.3719  22.36  0.600   0.0210 110.35  0.200  0.667 0.914   0.000  0.2083
 21 0.879 0.3367  21.71  0.600   0.0216 102.72  0.205  0.667 0.910   0.000  0.1829
 22 0.902 0.3014  21.15  0.600   0.0223  94.28  0.210  0.667 0.906   0.000  0.1595
 23 0.924 0.2663  20.66  0.600   0.0233  85.13  0.215  0.667 0.901   0.000  0.1376
 24 0.942 0.2312  20.25  0.600   0.0244  75.34  0.219  0.667 0.895   0.000  0.1172
 25 0.959 0.1964  19.91  0.600   0.0259  65.02  0.223  0.667 0.888   0.000  0.0978
 26 0.972 0.1618  19.63  0.600   0.0278  54.28  0.226  0.667 0.880   0.000  0.0795
 27 0.983 0.1277  19.40  0.600   0.0305  43.28  0.228  0.667 0.869   0.000  0.0620
 28 0.991 0.0944  19.24  0.600   0.0343  32.24  0.230  0.667 0.854   0.000  0.0455
 29 0.997 0.0634  19.13  0.600   0.0401  21.79  0.231  0.667 0.832   0.000  0.0304
 30 0.999 0.0414  19.08  0.600   0.0475  14.24  0.232  0.667 0.806   0.000  0.0198
