
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.29734
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.21712
 thrust(N)  :   3.94        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6662       speed(m/s) :   20.000     rpm        :  11544.001
 Eff induced:  0.7302       Eff ideal  :   0.8432     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0013    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0740    Pvisc(W)   :   8.35       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.68209      adv:    0.21712       AF:  225.425
   Ct:    0.16110       Cp:    0.16494  (by rho,Diam,N)
   Tc:    0.88178       Pc:    1.32355  (by rho,Atip,Vel)
   CT:    0.02078       CP:    0.00677  (by rho,Atip,Vtip)
Sigma:    0.22450 CT/sigma:    0.09257

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.2964  79.11  0.600   0.0345  31.79  0.060  0.658 0.619   0.000  1.9959
  2 0.086 0.3992  71.91  0.600   0.0300  44.84  0.063  0.706 0.813   0.000  1.4839
  3 0.135 0.5184  63.52  0.600   0.0261  63.48  0.069  0.720 0.886   0.000  1.2256
  4 0.185 0.5970  55.94  0.600   0.0237  81.43  0.076  0.725 0.914   0.000  1.0268
  5 0.236 0.6353  49.43  0.600   0.0221  97.20  0.086  0.727 0.927   0.000  0.8584
  6 0.286 0.6444  43.96  0.600   0.0210 110.44  0.096  0.728 0.932   0.000  0.7180
  7 0.335 0.6349  39.38  0.600   0.0202 121.18  0.107  0.729 0.935   0.000  0.6030
  8 0.384 0.6144  35.56  0.600   0.0197 129.60  0.118  0.729 0.935   0.000  0.5096
  9 0.431 0.5876  32.36  0.600   0.0193 135.91  0.130  0.729 0.934   0.000  0.4336
 10 0.478 0.5577  29.67  0.600   0.0190 140.32  0.141  0.729 0.933   0.000  0.3715
 11 0.523 0.5263  27.39  0.600   0.0189 143.02  0.152  0.729 0.931   0.000  0.3203
 12 0.567 0.4947  25.45  0.600   0.0188 144.17  0.163  0.730 0.928   0.000  0.2778
 13 0.609 0.4632  23.78  0.600   0.0189 143.91  0.174  0.730 0.925   0.000  0.2421
 14 0.650 0.4323  22.35  0.600   0.0189 142.36  0.185  0.730 0.922   0.000  0.2118
 15 0.689 0.4021  21.11  0.600   0.0191 139.62  0.195  0.730 0.919   0.000  0.1859
 16 0.725 0.3727  20.03  0.600   0.0193 135.78  0.204  0.730 0.915   0.000  0.1635
 17 0.760 0.3440  19.10  0.600   0.0196 130.92  0.213  0.730 0.911   0.000  0.1440
 18 0.793 0.3160  18.28  0.600   0.0199 125.12  0.222  0.730 0.907   0.000  0.1268
 19 0.824 0.2886  17.57  0.600   0.0204 118.45  0.230  0.730 0.903   0.000  0.1115
 20 0.853 0.2619  16.95  0.600   0.0209 110.98  0.237  0.730 0.898   0.000  0.0978
 21 0.879 0.2357  16.42  0.600   0.0216 102.78  0.244  0.730 0.893   0.000  0.0854
 22 0.902 0.2100  15.95  0.600   0.0224  93.92  0.251  0.730 0.887   0.000  0.0741
 23 0.924 0.1848  15.56  0.600   0.0233  84.49  0.256  0.730 0.881   0.000  0.0637
 24 0.942 0.1599  15.22  0.600   0.0245  74.55  0.261  0.730 0.874   0.000  0.0540
 25 0.959 0.1355  14.94  0.600   0.0260  64.19  0.265  0.730 0.866   0.000  0.0450
 26 0.972 0.1115  14.71  0.600   0.0280  53.52  0.269  0.730 0.855   0.000  0.0365
 27 0.983 0.0879  14.53  0.600   0.0306  42.66  0.272  0.730 0.842   0.000  0.0285
 28 0.991 0.0651  14.40  0.600   0.0344  31.85  0.274  0.730 0.825   0.000  0.0209
 29 0.997 0.0442  14.31  0.600   0.0401  21.76  0.276  0.730 0.801   0.000  0.0141
 30 0.999 0.0298  14.27  0.600   0.0469  14.69  0.276  0.730 0.773   0.000  0.0095
